Ticker,AI_Score,Harga,MA50,Trx_Miliar
MEDS.JK,1.0686198,70.0,,10.3
ROTI.JK,1.0555423,540.0,,1.51
AVIA.JK,1.0548685,302.0,,4.51
GOLF.JK,1.052022,137.0,,1.41
KRYA.JK,1.0477713,55.0,,2.21
RCCC.JK,1.0441844,90.0,,1.19
BDKR.JK,1.0423546,130.0,,1.58
ASPR.JK,1.0406021,134.0,,95.99
SUPA.JK,1.0404775,705.0,,30.17
ASHA.JK,1.0400636,52.0,,1.72
CSMI.JK,1.0384496,72.0,,1.22
ALII.JK,1.0383447,745.0,,6.4
AYAM.JK,1.037511,300.0,,10.5
ARTO.JK,1.037391,930.0,,3.64
KAEF.JK,1.03726,406.0,,1.07
DEFI.JK,1.0359207,95.0,,3.88
ICBP.JK,1.0329567,6450.0,7017.5,54.1
NOBU.JK,1.0328465,444.0,524.2,1.23
BBKP.JK,1.0321312,52.0,60.4,7.72
COIN.JK,1.0296692,675.0,1093.7,4.2
MARK.JK,1.0277389,790.0,773.8,14.65
MIKA.JK,1.0272706,1525.0,1928.0,45.38
SNLK.JK,1.0271579,230.0,241.3,2.98
DOOH.JK,1.0264918,98.0,,4.37
HATM.JK,1.026169,302.0,,12.56
CNMA.JK,1.0258772,88.0,,1.64
LPKR.JK,1.0243688,62.0,,4.49
MNCN.JK,1.0238144,202.0,,6.29
UNVR.JK,1.0236168,1570.0,,40.9
KLBF.JK,1.023419,695.0,,52.66
BEST.JK,1.0228407,88.0,,1.01
PYFA.JK,1.0227594,180.0,,5.17
RLCO.JK,1.0226268,2460.0,,2.32
LPPF.JK,1.0221341,1500.0,,3.76
CYBR.JK,1.0209525,550.0,,12.81
DFAM.JK,1.0207248,97.0,,3.35
BJBR.JK,1.0203377,735.0,,3.92
MDIY.JK,1.0201586,835.0,,1.06
ASRI.JK,1.0198354,102.0,,1.77
CDIA.JK,1.0198226,640.0,,97.72
DILD.JK,1.0197088,104.0,,2.5
INTP.JK,1.0181317,4050.0,,23.56
RMKO.JK,1.0178738,258.0,,1.78
IRSX.JK,1.0177703,242.0,,25.0
JATI.JK,1.0174897,98.0,,1.38
MOLI.JK,1.016305,206.0,251.6,1.35
CPIN.JK,1.0160517,3380.0,4012.4,108.98
MAIN.JK,1.0159837,725.0,910.8,1.95
BSML.JK,1.0155159,396.0,392.3,6.16
NCKL.JK,1.0151325,785.0,1038.7,65.39
MTEL.JK,1.014698,498.0,,9.6
LCKM.JK,1.0137752,91.0,,4.82
MAHA.JK,1.013091,127.0,,1.36
IMJS.JK,1.0129142,127.0,,1.07
NINE.JK,1.0121986,66.0,,1.9
MORA.JK,1.0116522,5700.0,,2.93
PNLF.JK,1.0116354,204.0,,16.36
VISI.JK,1.0115699,1030.0,,9.17
GPRA.JK,1.0104399,100.0,,3.1
EPAC.JK,1.0103564,53.0,,2.24
BEER.JK,1.010116,88.0,,6.71
KAQI.JK,1.009763,83.0,,2.58
FPNI.JK,1.0096481,284.0,,1.05
AALI.JK,1.009302,6375.0,,25.46
JSMR.JK,1.0084324,2810.0,,11.03
COCO.JK,1.0082358,170.0,,5.23
PNIN.JK,1.0076183,670.0,,1.6
MSKY.JK,1.0072997,58.0,,5.28
MYOR.JK,1.0068326,1690.0,,15.29
SRTG.JK,1.0065854,1375.0,,6.21
PNBN.JK,1.0058169,855.0,,8.88
HUMI.JK,1.0055192,100.0,,8.05
KETR.JK,1.0053487,560.0,,44.02
MDKA.JK,1.0051208,2570.0,,393.33
ARNA.JK,1.0051061,410.0,,2.74
GIAA.JK,1.0047294,51.0,,4.77
APLN.JK,1.0045921,132.0,,2.87
HEAL.JK,1.004531,800.0,,13.02
CBDK.JK,1.0040118,3280.0,,14.47
BRIS.JK,1.0039681,1765.0,,28.19
SMLE.JK,1.0038725,79.0,,1.86
CTRA.JK,1.0036974,555.0,,10.69
BEEF.JK,1.0033907,138.0,,1.92
NIKL.JK,1.0030823,191.0,,1.22
PRDA.JK,1.0027506,2360.0,,5.27
MLPL.JK,1.0026972,73.0,,2.39
UNTR.JK,0.98009396,21250.0,,147.32
CHEM.JK,0.9800512,58.0,,1.51
SMSM.JK,0.97997856,1625.0,,3.47
PTBA.JK,0.9796702,2590.0,,60.97
RMKE.JK,0.9790229,2060.0,,83.94
GJTL.JK,0.97891057,1050.0,,9.46
CLEO.JK,0.97800195,358.0,,2.54
MEDC.JK,0.977967,1205.0,,103.19
CMNT.JK,0.97774047,775.0,,13.95
DEWI.JK,0.97761804,113.0,,7.81
HBAT.JK,0.97752887,406.0,,1.31
KRAS.JK,0.9772956,181.0,,1.59
NETV.JK,0.977119,53.0,,2.07
APLI.JK,0.9767562,338.0,,1.42
FUJI.JK,0.97637486,276.0,,4.65
INDF.JK,0.97598183,6050.0,,72.08
MMIX.JK,0.97592646,750.0,,34.18
FILM.JK,0.97528225,1780.0,,7.86
MINA.JK,0.9749794,260.0,,61.36
ERAA.JK,0.9748392,330.0,,14.64
NTBK.JK,0.9746408,51.0,,2.51
ESTI.JK,0.9742805,123.0,,2.68
SSMS.JK,0.97350717,700.0,,12.45
LEAD.JK,0.973418,83.0,,1.39
GGRM.JK,0.9733007,14600.0,,23.04
HRUM.JK,0.9728203,680.0,,7.43
RATU.JK,0.97261685,4060.0,,42.31
BANK.JK,0.9723761,240.0,,2.78
CMRY.JK,0.97236484,4270.0,,17.99
MLBI.JK,0.9719711,5925.0,,4.78
GZCO.JK,0.9713929,123.0,,2.15
RAJA.JK,0.9713763,2940.0,,99.13
RGAS.JK,0.9710895,101.0,,2.57
APIC.JK,0.9710486,515.0,,13.12
ASGR.JK,0.970889,1395.0,,1.63
SCMA.JK,0.9708664,193.0,,10.21
POWR.JK,0.9706287,690.0,,5.97
BJTM.JK,0.97055316,500.0,,9.4
EXCL.JK,0.9702613,2650.0,,32.21
TPMA.JK,0.9696366,360.0,,4.86
TOTL.JK,0.96943414,1020.0,,4.66
MUTU.JK,0.9687573,117.0,,5.05
IMPC.JK,0.9686098,1530.0,,62.41
RISE.JK,0.9683589,810.0,,1.22
IATA.JK,0.9680673,57.0,,3.93
BBNI.JK,0.9680153,3210.0,,264.28
KIJA.JK,0.96768653,116.0,,8.03
NPGF.JK,0.9669693,56.0,,3.32
BRMS.JK,0.9666687,510.0,,191.3
MBMA.JK,0.96658117,434.0,,74.23
NRCA.JK,0.96656656,410.0,,3.28
ARKO.JK,0.96652204,4340.0,,22.04
BBCA.JK,0.96595055,5075.0,6185.8,3127.89
PGAS.JK,0.96579707,1520.0,1722.1,92.88
CUAN.JK,0.96577567,675.0,1060.4,755.04
RBMS.JK,0.9654293,53.0,62.2,9.39
NICL.JK,0.9654106,458.0,782.6,3.26
IPCC.JK,0.9653641,1090.0,1269.2,1.62
TLKM.JK,0.96476454,2760.0,3013.8,917.41
MBSS.JK,0.96458626,2300.0,2086.2,8.01
WEHA.JK,0.9645463,121.0,123.3,15.26
SOCI.JK,0.9644939,290.0,454.9,4.9
HRTA.JK,0.9643786,2240.0,2555.0,25.56
DPUM.JK,0.9642516,176.0,151.3,1.68
TINS.JK,0.96417874,3150.0,3529.0,238.55
ANTM.JK,0.96412194,2750.0,3536.2,907.95
GRIA.JK,0.9639417,132.0,110.6,1.79
SOFA.JK,0.96354175,264.0,411.0,2.41
PADA.JK,0.963257,93.0,150.0,2.3
VKTR.JK,0.96312505,605.0,,41.78
PTRO.JK,0.96292996,3650.0,,447.25
BDMN.JK,0.96266973,4200.0,,32.69
TSPC.JK,0.9612569,2380.0,,4.58
ELSA.JK,0.96076876,575.0,,14.57
WIFI.JK,0.96058947,1445.0,,100.43
FORE.JK,0.96036285,645.0,,7.75
WIIM.JK,0.9601164,1400.0,,4.66
TRUE.JK,0.96008444,57.0,,10.9
TAMA.JK,0.95993674,128.0,,2.58
ZATA.JK,0.9598269,51.0,,14.97
TRIN.JK,0.9592474,312.0,,2.82
JTPE.JK,0.9591312,590.0,,1.79
GTSI.JK,0.95895344,109.0,,6.61
KUAS.JK,0.95849305,86.0,,19.55
NISP.JK,0.95800346,1170.0,,11.03
EMAS.JK,0.9572864,7400.0,,172.18
MPMX.JK,0.9570477,1090.0,,21.08
WGSH.JK,0.9569921,141.0,,1.26
BUMI.JK,0.95697147,139.0,,620.43
DKFT.JK,0.9566902,570.0,,8.13
AMMN.JK,0.9566381,3290.0,,1103.74
MSIN.JK,0.9565205,540.0,,55.97
MSTI.JK,0.95636535,1340.0,,3.24
AGII.JK,0.9557181,2600.0,,1.04
SPTO.JK,0.95566493,560.0,,1.15
