Ticker,AI_Score,Harga,MA50,Trx_Miliar
GGRM.JK,17236.5,16200.0,,14.52
UNTD.JK,15863.104,71.0,,1.01
BBCA.JK,7037.0605,6275.0,,2893.8
INET.JK,6816.0186,204.0,,36.78
AALI.JK,6706.618,6200.0,,23.08
SMLE.JK,6659.0024,95.0,,1.21
AADI.JK,5956.1606,8125.0,,159.89
INCO.JK,5840.559,4990.0,,123.6
ULTJ.JK,5744.075,1390.0,,4.36
STRK.JK,5142.3726,76.0,,9.48
ASII.JK,4888.659,4800.0,,375.76
CPIN.JK,4608.869,3350.0,,31.69
CBDK.JK,4518.778,3800.0,,15.09
BYAN.JK,4206.9414,9600.0,,3.05
BMRI.JK,4034.813,4490.0,,1253.81
UNTR.JK,4006.6343,23000.0,,103.76
BBRI.JK,3862.3892,3080.0,,1512.06
CMRY.JK,3689.193,4320.0,,12.71
SLIS.JK,3538.174,64.0,,1.51
BBNI.JK,3417.561,3800.0,,376.13
EMAS.JK,3364.8638,7000.0,,252.29
INDO.JK,3199.3257,170.0,,8.74
SUPA.JK,3055.9458,610.0,,47.07
MARK.JK,2930.0305,880.0,,26.1
BSSR.JK,2780.8555,4300.0,,7.03
NETV.JK,2752.0208,56.0,,2.04
MDIY.JK,2437.5347,875.0,,1.84
BDMN.JK,2368.4773,4040.0,,13.4
MIDI.JK,2334.9526,290.0,,3.17
MEDS.JK,2271.349,75.0,,3.24
CITA.JK,2233.653,3090.0,,1.1
ABMM.JK,2114.6758,2450.0,,2.18
ADRO.JK,2104.6401,2330.0,,72.89
AMMN.JK,1990.912,3720.0,,541.39
BTPS.JK,1909.9893,1005.0,,4.98
EXCL.JK,1903.1835,2580.0,,26.72
ARTO.JK,1876.1708,1000.0,,5.83
SGER.JK,1663.7122,394.0,,11.18
GHON.JK,1651.0847,1985.0,,1.29
AMRT.JK,1597.114,1425.0,,150.62
MDIA.JK,1550.4308,76.0,,17.2
MAPA.JK,1516.8141,595.0,,9.12
AUTO.JK,1387.1436,2460.0,,3.73
MUTU.JK,1357.5339,112.0,,1.16
BIRD.JK,1196.0919,1600.0,,3.88
SRSN.JK,1190.6548,64.0,,4.47
ANTM.JK,1183.5443,3160.0,,745.35
SSIA.JK,1157.765,1675.0,,33.59
DAAZ.JK,1149.2452,1730.0,,1.29
BNGA.JK,1126.2802,1600.0,,9.47
JMAS.JK,1126.2789,236.0,,1.77
AKRA.JK,1089.609,1225.0,,35.83
SIDO.JK,1088.4323,390.0,,8.82
RSCH.JK,1082.124,318.0,,7.11
PSAB.JK,1074.798,448.0,,103.64
BREN.JK,1038.5743,3740.0,,234.73
BJBR.JK,1033.693,775.0,,2.92
BBTN.JK,982.5856,1250.0,,32.64
SINI.JK,980.2489,9600.0,,8.24
MLPL.JK,973.18164,82.0,,1.7
KOKA.JK,971.892,103.0,,2.2
APIC.JK,943.1067,585.0,,1.76
PGAS.JK,917.41925,1565.0,,67.27
CMNT.JK,912.7388,790.0,,17.56
MBMA.JK,904.105,515.0,,117.81
JTPE.JK,893.319,605.0,,1.32
BRIS.JK,879.1027,1850.0,,43.51
BRPT.JK,864.43555,1685.0,,541.16
LSIP.JK,863.669,1285.0,,16.78
ASGR.JK,853.3961,1520.0,,1.04
TSPC.JK,804.395,2500.0,,2.72
HRTA.JK,766.1782,2250.0,,53.92
ARNA.JK,750.7254,426.0,,1.55
ACES.JK,742.7759,374.0,,15.94
CTRA.JK,729.0468,590.0,,11.75
BSDE.JK,723.9242,610.0,,10.87
DRMA.JK,717.4855,930.0,,1.38
JSMR.JK,702.1759,2720.0,,21.18
FILM.JK,700.0636,1780.0,,9.1
BFIN.JK,691.6439,715.0,,7.69
TBLA.JK,679.74347,630.0,,1.36
GJTL.JK,668.86786,1190.0,,6.19
MTDL.JK,650.2166,540.0,,1.7
BANK.JK,635.25806,280.0,,2.35
SIMP.JK,632.7613,550.0,,8.51
TBIG.JK,631.18005,1430.0,,6.54
DSNG.JK,620.54364,1130.0,,15.4
EMTK.JK,613.67194,580.0,,21.49
ADMR.JK,610.1941,1600.0,,64.27
RALS.JK,604.7822,386.0,,2.47
AVIA.JK,589.16736,330.0,,4.78
RLCO.JK,584.15186,3450.0,,9.55
NICL.JK,572.771,650.0,,14.14
BJTM.JK,568.25037,520.0,,5.44
TKIM.JK,555.4028,6125.0,,22.44
JPFA.JK,555.16315,1925.0,,63.43
ARKO.JK,554.8491,6125.0,,15.73
KRYA.JK,549.3932,63.0,,3.57
RMKO.JK,545.90515,318.0,,2.92
DEFI.JK,544.6584,145.0,,26.79
MSTI.JK,540.40344,1240.0,,1.97
SOFA.JK,537.76044,270.0,,1.07
WIFI.JK,531.1699,1660.0,,54.13
SMSM.JK,523.9982,1650.0,,4.12
TRON.JK,516.5645,102.0,,2.74
ESSA.JK,515.25665,665.0,,108.17
YOII.JK,494.89417,89.0,,1.32
NISP.JK,486.28683,1255.0,,5.4
RMKE.JK,485.01328,2240.0,,29.52
PADI.JK,485.002,74.0,,18.5
ALII.JK,470.0324,810.0,,1.11
OMED.JK,465.50284,206.0,,6.09
SRTG.JK,460.88092,1515.0,,6.74
PIPA.JK,459.6003,116.0,,10.23
ASSA.JK,452.75818,655.0,,6.85
PWON.JK,449.50314,256.0,,37.82
KEEN.JK,446.80832,840.0,,8.05
PART.JK,446.79526,107.0,,1.68
RAJA.JK,435.60522,3790.0,,159.8
UVCR.JK,129.16489,181.0,,46.04
TUGU.JK,128.71327,1145.0,,2.56
RGAS.JK,128.0237,186.0,,15.22
INKP.JK,128.01442,7650.0,,37.36
WEHA.JK,127.34842,98.0,,2.02
PGEO.JK,125.53509,905.0,,20.2
DILD.JK,125.231384,117.0,,1.39
ASLI.JK,123.289024,228.0,,1.43
INDS.JK,122.40022,284.0,,2.07
AHAP.JK,121.27694,91.0,,2.28
MPMX.JK,120.87316,955.0,,6.74
VICI.JK,119.95045,625.0,,3.22
INDF.JK,119.40289,6750.0,,55.21
TOBA.JK,117.91148,412.0,,4.37
HMSP.JK,117.41252,605.0,,17.43
KOTA.JK,116.11394,106.0,,35.19
