Ticker,AI_Score,Harga_Terakhir,Trx_Harian_Miliar
GGRM.JK,17497.24,17000.0,12.21
BBCA.JK,7321.2188,5700.0,1747.58
INET.JK,7034.105,232.0,16.13
AALI.JK,6877.682,6475.0,25.85
AADI.JK,6193.132,8400.0,70.22
INCO.JK,6079.561,4730.0,117.15
ULTJ.JK,5825.609,1520.0,4.35
ASII.JK,5075.414,5000.0,670.41
CPIN.JK,4776.25,4270.0,71.22
CBDK.JK,4712.8936,3850.0,6.52
BMRI.JK,4232.8784,4080.0,710.16
UNTR.JK,4125.4663,22925.0,177.65
BBRI.JK,4042.7292,2950.0,901.31
CMRY.JK,3838.833,4830.0,8.53
BBNI.JK,3589.9336,3700.0,182.74
EMAS.JK,3507.1487,7800.0,120.23
INDO.JK,3252.1404,161.0,3.0
SUPA.JK,3086.561,840.0,7.67
MARK.JK,3019.7812,795.0,8.86
NETV.JK,2715.1882,66.0,3.6
BDMN.JK,2500.3757,4660.0,21.39
MIDI.JK,2434.2158,274.0,14.88
MEDS.JK,2354.8276,90.0,7.49
CITA.JK,2311.665,3140.0,1.37
ABMM.JK,2216.2532,2400.0,1.43
ADRO.JK,2181.3547,2300.0,81.93
AMMN.JK,2100.2793,3300.0,1075.4
EXCL.JK,1986.6729,2830.0,20.97
BTPS.JK,1940.1107,930.0,2.3
BINA.JK,1922.1152,4390.0,1.8
ARTO.JK,1816.3633,1180.0,2.91
AMRT.JK,1670.9601,1150.0,487.89
MAPA.JK,1606.4059,640.0,13.1
MDIA.JK,1604.0421,87.0,7.78
AUTO.JK,1483.9673,2530.0,7.38
BIRD.JK,1270.2793,1555.0,1.09
SRSN.JK,1221.3242,65.0,1.2
SSIA.JK,1214.0956,1675.0,19.38
ANTM.JK,1208.9076,2900.0,423.3
BNGA.JK,1202.7622,1615.0,6.67
DAAZ.JK,1182.8422,1520.0,2.34
SIDO.JK,1161.3921,384.0,17.99
AKRA.JK,1151.9904,1235.0,31.04
RSCH.JK,1121.5845,266.0,3.02
PSAB.JK,1118.028,476.0,25.68
BREN.JK,1084.4161,3300.0,609.15
APIC.JK,1076.8279,980.0,12.81
BJBR.JK,1074.5266,765.0,2.42
BOGA.JK,1059.6454,1340.0,7.12
BBTN.JK,1039.0681,1270.0,17.94
SINI.JK,1012.56647,12325.0,10.41
PGAS.JK,975.19214,1825.0,56.1
CMNT.JK,958.4936,815.0,8.82
MBMA.JK,941.87836,478.0,69.32
NIRO.JK,912.8437,163.0,7.34
BRPT.JK,909.21423,1940.0,723.58
BRIS.JK,902.0126,1980.0,51.43
LSIP.JK,897.36084,1290.0,10.24
ARNA.JK,782.50903,446.0,1.69
HRTA.JK,781.13184,2490.0,18.39
CTRA.JK,779.5397,645.0,6.17
BSDE.JK,775.3999,630.0,16.12
ACES.JK,773.72754,348.0,4.95
DRMA.JK,767.1288,975.0,1.39
FILM.JK,744.9387,2150.0,11.84
BFIN.JK,731.7226,690.0,22.63
JSMR.JK,725.5181,3010.0,11.53
GJTL.JK,716.8932,1215.0,3.23
SIMP.JK,680.2334,555.0,7.06
MTDL.JK,676.2344,535.0,1.18
DSNG.JK,659.80756,1190.0,15.56
BANK.JK,637.93896,238.0,19.01
CASA.JK,619.42633,1350.0,12.54
ADMR.JK,619.21387,1530.0,33.12
RALS.JK,618.2969,380.0,3.05
AVIA.JK,611.5062,348.0,3.57
ARKO.JK,601.695,6125.0,11.93
EMTK.JK,601.04834,615.0,15.16
BJTM.JK,595.8409,520.0,3.11
TKIM.JK,590.5124,5575.0,53.85
JPFA.JK,585.27026,2450.0,46.92
RMKO.JK,580.196,350.0,1.41
SOFA.JK,578.6847,400.0,1.94
NICL.JK,577.5157,570.0,3.46
